CustomerID,Recency,Frequency,Monetary,KMeans_Cluster,DBSCAN_Cluster,Segment
12346.0,282,1,77183.6,1,-1,Champions
12347.0,86,5,2790.86,1,0,Champions
12348.0,31,4,1797.24,1,0,Champions
12350.0,266,1,334.40000000000003,0,1,At-Risk
12352.0,28,7,2194.31,3,0,Lost/Inactive
12353.0,160,1,89.0,0,1,At-Risk
12354.0,188,1,1079.4,0,1,At-Risk
12355.0,170,1,459.4,0,1,At-Risk
12356.0,202,2,2753.08,1,0,Champions
12358.0,107,1,484.86,2,1,Potential Loyalists
12359.0,13,4,6310.03,3,0,Lost/Inactive
12360.0,8,3,2662.06,1,0,Champions
12361.0,243,1,189.9,0,1,At-Risk
12362.0,15,6,2933.14,3,0,Lost/Inactive
12363.0,66,2,552.0,2,0,Potential Loyalists
12364.0,34,2,703.72,1,0,Champions
12365.0,247,2,641.38,0,0,At-Risk
12370.0,7,4,3541.94,1,0,Champions
12371.0,1,2,1887.96,1,0,Champions
12372.0,28,3,1298.04,1,0,Champions
12373.0,267,1,364.6,0,1,At-Risk
12375.0,54,1,230.3,2,1,Potential Loyalists
12377.0,271,2,1628.12,0,0,At-Risk
12378.0,86,1,4008.62,1,-1,Champions
12379.0,38,2,852.24,1,0,Champions
12380.0,13,3,1684.42,1,0,Champions
12381.0,15,3,1279.24,1,0,Champions
12383.0,141,5,1850.56,1,0,Champions
12384.0,78,1,292.69,2,1,Potential Loyalists
12386.0,294,2,401.9,0,0,At-Risk
12388.0,32,5,2494.26,1,0,Champions
12390.0,36,1,549.84,2,1,Potential Loyalists
12393.0,28,4,1582.6,1,0,Champions
12394.0,20,2,1272.48,1,0,Champions
12395.0,22,9,2246.25,3,0,Lost/Inactive
12397.0,91,1,1214.81,2,1,Potential Loyalists
12398.0,2,1,1635.66,1,1,Champions
12399.0,75,4,1108.65,1,0,Champions
12401.0,259,1,84.3,0,1,At-Risk
12402.0,279,1,225.6,0,1,At-Risk
12403.0,6,1,427.7,2,1,Potential Loyalists
12405.0,105,1,1710.39,1,1,Champions
12406.0,140,1,1621.25,1,1,Champions
12407.0,6,5,1708.12,1,0,Champions
12408.0,55,4,2134.05,1,0,Champions
12409.0,35,3,11072.67,1,0,Champions
12410.0,265,2,693.33,0,0,At-Risk
12412.0,31,3,1226.88,1,0,Champions
12413.0,23,3,758.1,1,0,Champions
12414.0,173,3,562.4100000000001,0,0,At-Risk
12415.0,21,17,118559.65,3,-1,Lost/Inactive
12417.0,63,7,2816.52,3,0,Lost/Inactive
12418.0,69,1,668.58,2,1,Potential Loyalists
12420.0,20,1,600.39,2,1,Potential Loyalists
12421.0,71,3,628.5600000000001,1,0,Champions
12422.0,52,3,803.5600000000001,1,0,Champions
12423.0,57,7,1650.67,1,0,Champions
